Unique,Boro,District,Unit,Order,January,February,March,April,May,June,July,August,September,October,November,December
ManhattanBIG APPLE 30Pack 0074 FP,Manhattan,BIG APPLE 30,Pack 0074 FP,1 - Packs,0.0,-1.0,-1.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 0111 FP,Manhattan,BIG APPLE 30,Pack 0111 FP,1 - Packs,0.0,0.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 0163 FP,Manhattan,BIG APPLE 30,Pack 0163 FP,1 - Packs,0.0,0.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 0171 FP,Manhattan,BIG APPLE 30,Pack 0171 FP,1 - Packs,0.0,0.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 0207 FP,Manhattan,BIG APPLE 30,Pack 0207 FP,1 - Packs,0.0,1.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 0290 FP,Manhattan,BIG APPLE 30,Pack 0290 FP,1 - Packs,0.0,0.0,-2.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 0422 BP,Manhattan,BIG APPLE 30,Pack 0422 BP,1 - Packs,0.0,-3.0,-4.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 0662 FP,Manhattan,BIG APPLE 30,Pack 0662 FP,1 - Packs,0.0,1.0,-6.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 0777 FP,Manhattan,BIG APPLE 30,Pack 0777 FP,1 - Packs,0.0,-4.0,-4.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 3001 FP,Manhattan,BIG APPLE 30,Pack 3001 FP,1 - Packs,0.0,-5.0,1.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 3150 BP,Manhattan,BIG APPLE 30,Pack 3150 BP,1 - Packs,0.0,-3.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 3414 FP,Manhattan,BIG APPLE 30,Pack 3414 FP,1 - Packs,,0.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 3520 FP,Manhattan,BIG APPLE 30,Pack 3520 FP,1 - Packs,0.0,0.0,-2.0,,,,,,,,,
ManhattanBIG APPLE 30Pack 3729 FP,Manhattan,BIG APPLE 30,Pack 3729 FP,1 - Packs,0.0,0.0,-3.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0001 BT,Manhattan,BIG APPLE 30,Troop 0001 BT,2 - Troops,0.0,3.0,-2.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0001 GT,Manhattan,BIG APPLE 30,Troop 0001 GT,2 - Troops,0.0,2.0,-1.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0005 BT,Manhattan,BIG APPLE 30,Troop 0005 BT,2 - Troops,0.0,0.0,-6.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0055 BT,Manhattan,BIG APPLE 30,Troop 0055 BT,2 - Troops,0.0,3.0,-4.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0055 GT,Manhattan,BIG APPLE 30,Troop 0055 GT,2 - Troops,0.0,0.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0150 BT,Manhattan,BIG APPLE 30,Troop 0150 BT,2 - Troops,0.0,1.0,-7.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0163 BT,Manhattan,BIG APPLE 30,Troop 0163 BT,2 - Troops,0.0,1.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0163 GT,Manhattan,BIG APPLE 30,Troop 0163 GT,2 - Troops,0.0,0.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0414 BT,Manhattan,BIG APPLE 30,Troop 0414 BT,2 - Troops,0.0,-1.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0414 GT,Manhattan,BIG APPLE 30,Troop 0414 GT,2 - Troops,0.0,0.0,-2.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0422 BT,Manhattan,BIG APPLE 30,Troop 0422 BT,2 - Troops,0.0,0.0,-1.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0520 BT,Manhattan,BIG APPLE 30,Troop 0520 BT,2 - Troops,0.0,0.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0662 BT,Manhattan,BIG APPLE 30,Troop 0662 BT,2 - Troops,0.0,-2.0,-2.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0662 GT,Manhattan,BIG APPLE 30,Troop 0662 GT,2 - Troops,0.0,5.0,0.0,,,,,,,,,
ManhattanBIG APPLE 30Troop 0664 BT,Manhattan,BIG APPLE 30,Troop 0664 BT,2 - Troops,0.0,0.0,-3.0,,,,,,,,,
